MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2015-02-23,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,0.0,0.0
2015-03-09,GUATEMALA,T,KBFI,KIWA,14,1,0.0,0.0,7.0,50.0
2015-03-23,GUATEMALA,T,KBFI,KIWA,20,1,0.0,0.0,9.0,45.0
2015-04-20,GUATEMALA,T,KBFI,KBFL,1,1,0.0,0.0,1.0,100.0
2015-04-20,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,4.0,40.0
2015-05-18,GUATEMALA,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2015-06-01,GUATEMALA,T,KBFI,KIWA,50,1,0.0,0.0,42.0,84.0
2015-06-12,GUATEMALA,T,KBFI,KAEX,17,1,0.0,0.0,12.0,70.58823529411765
2015-06-29,GUATEMALA,T,KBFI,KIWA,32,1,0.0,0.0,28.0,87.5
2015-07-13,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,7.0,100.0
2015-07-27,GUATEMALA,T,KBFI,KELP,1,1,0.0,0.0,0.0,0.0
2015-07-27,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,0.0,0.0
2015-08-10,GUATEMALA,T,KBFI,KIWA,12,1,0.0,0.0,0.0,0.0
2015-08-17,GUATEMALA,T,KBFI,KBRO,18,1,0.0,0.0,0.0,0.0
2015-09-09,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,0.0,0.0
2015-09-27,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,3.0,42.857142857142854
2015-10-26,GUATEMALA,T,KBFI,KIWA,26,1,0.0,0.0,17.0,65.38461538461539
2015-11-09,GUATEMALA,T,KBFI,KIWA,15,1,0.0,0.0,12.0,80.0
2015-11-17,GUATEMALA,T,KBFI,KIWA,40,1,0.0,0.0,27.0,67.5
2015-11-23,GUATEMALA,T,KBFI,KELP,1,1,0.0,0.0,0.0,0.0
2015-12-07,GUATEMALA,T,KBFI,KIWA,27,1,0.0,0.0,12.0,44.44444444444444
2015-12-22,GUATEMALA,T,KBFI,KIWA,30,1,0.0,0.0,21.0,70.0
2016-01-19,GUATEMALA,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2016-01-26,GUATEMALA,T,KBFI,KIWA,24,1,0.0,0.0,17.0,70.83333333333334
2016-01-26,GUATEMALA,T,KBFI,KSAN,1,1,0.0,0.0,0.0,0.0
2016-02-09,GUATEMALA,T,KBFI,KIWA,43,1,0.0,0.0,25.0,58.139534883720934
2016-02-23,GUATEMALA,T,KBFI,KIWA,14,1,0.0,0.0,10.0,71.42857142857143
2016-03-01,GUATEMALA,T,KBFI,KIWA,21,1,0.0,0.0,14.0,66.66666666666666
2016-03-08,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,10.0,100.0
2016-03-15,GUATEMALA,T,KBFI,KIWA,39,1,0.0,0.0,34.0,87.17948717948718
2016-03-29,GUATEMALA,T,KBFI,KIWA,11,1,0.0,0.0,9.0,81.81818181818183
2016-04-05,GUATEMALA,T,KBFI,KIWA,11,1,0.0,0.0,10.0,90.9090909090909
2016-04-12,GUATEMALA,T,KBFI,KIWA,14,1,0.0,0.0,13.0,92.85714285714286
2016-04-19,GUATEMALA,T,KBFI,KIWA,12,1,0.0,0.0,12.0,100.0
2016-04-26,GUATEMALA,T,KBFI,KIWA,22,1,0.0,0.0,17.0,77.27272727272727
2016-05-03,GUATEMALA,T,KBFI,KIWA,13,1,0.0,0.0,7.0,53.84615384615385
2016-05-10,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,2.0,66.66666666666666
2016-05-17,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,1.0,50.0
2016-05-31,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,3.0,100.0
2016-06-07,GUATEMALA,T,KBFI,KIWA,9,1,0.0,0.0,6.0,66.66666666666666
2016-06-14,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,3.0,60.0
2016-06-28,GUATEMALA,T,KBFI,KIWA,20,1,0.0,0.0,18.0,90.0
2016-07-05,GUATEMALA,T,KBFI,KIWA,24,1,0.0,0.0,22.0,91.66666666666666
2016-07-12,GUATEMALA,T,KBFI,KIWA,8,1,0.0,0.0,5.0,62.5
2016-07-19,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,7.0,100.0
2016-07-26,GUATEMALA,T,KBFI,KIWA,26,1,0.0,0.0,19.0,73.07692307692307
2016-08-02,GUATEMALA,T,KBFI,KIWA,8,1,0.0,0.0,8.0,100.0
2016-08-09,GUATEMALA,T,KBFI,KIWA,26,1,0.0,0.0,21.0,80.76923076923077
2016-08-16,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,0.0,0.0
2016-08-23,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,2.0,100.0
2016-08-30,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,5.0,83.33333333333334
2016-09-13,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,5.0,71.42857142857143
2016-09-20,GUATEMALA,T,KBFI,KIWA,4,1,0.0,0.0,2.0,50.0
2016-09-21,GUATEMALA,T,KBFI,KAEX,9,1,0.0,0.0,5.0,55.55555555555556
2016-09-27,GUATEMALA,T,KBFI,KELP,1,1,0.0,0.0,0.0,0.0
2016-09-27,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,1.0,50.0
2016-10-04,GUATEMALA,T,KBFI,KIWA,4,1,1.0,0.25,2.0,50.0
2016-10-11,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,6.0,100.0
