,airport_name,monthly_dropoff_avg,monthly_dropoff_mission_avg,monthly_pickup_avg,monthly_pickup_mission_avg,removal_percent,total_unique,transfer_percent,unique_dropoff_missions,unique_dropoffs,unique_pickup_missions,unique_pickups,unique_removals,unique_transfers
LYBE,"{'AirportName': 'Belgrade Nikola Tesla Airport', 'LatitudeDecimalDegrees': 44.81800000000001, 'LongitudeDecimalDegrees': 20.309}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
LYPG,"{'AirportName': 'Podgorica Airport', 'LatitudeDecimalDegrees': 42.359, 'LongitudeDecimalDegrees': 19.252}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
LZIB,"{'AirportName': 'M. R. Štefánik Airport', 'LatitudeDecimalDegrees': 48.17, 'LongitudeDecimalDegrees': 17.212}",0.05,0.05,,,100.0,2,0.0,2,2,0,0,2,0
MDSD,"{'AirportName': 'Las Americas International Airport', 'LatitudeDecimalDegrees': 18.429, 'LongitudeDecimalDegrees': -69.669}",150.32,2.03,1.0,1.0,99.99,14883,0.01,201,14882,1,1,14882,1
MGGT,"{'AirportName': 'La Aurora Airport', 'LatitudeDecimalDegrees': 14.583, 'LongitudeDecimalDegrees': -90.528}",3301.77,30.48,0.2,0.19,99.92,326891,0.08,3018,326875,15,16,326615,276
MHLM,"{'AirportName': 'Ramon Villeda Morales International Airport', 'LatitudeDecimalDegrees': 15.452, 'LongitudeDecimalDegrees': -87.92299999999999}",2050.05,20.65,0.2,0.19,99.99,202970,0.01,2044,202955,14,15,202955,12
MHSC,"{'AirportName': 'Coronel Enrique Soto Cano Air Base', 'LatitudeDecimalDegrees': 14.3825, 'LongitudeDecimalDegrees': -87.621111}",7.28,0.28,,,100.0,131,0.0,5,131,0,0,131,0
MHTG,"{'AirportName': 'Toncontín International Airport', 'LatitudeDecimalDegrees': 14.061, 'LongitudeDecimalDegrees': -87.21700000000001}",831.0,7.67,,,100.0,19944,0.0,184,19944,0,0,19944,0
MKJP,"{'AirportName': 'Norman Manley International Airport', 'LatitudeDecimalDegrees': 17.936, 'LongitudeDecimalDegrees': -76.78699999999998}",62.26,0.99,66.0,1.0,100.0,6167,0.0,97,6101,1,66,6167,0
MMMD,"{'AirportName': 'Manuel Crescencio Rejón International Airport', 'LatitudeDecimalDegrees': 20.937, 'LongitudeDecimalDegrees': -89.65700000000002}",80.0,1.0,79.0,2.0,49.69,159,50.31,1,80,2,79,79,80
