,MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
120,2011-01-21,GUATEMALA,R,KHRL,MGGT,37,1,1.0,0.02702702702702703,32.0,86.48648648648648
121,2011-01-21,GUATEMALA,R,KIWA,MGGT,85,1,0.0,0.0,49.0,57.647058823529406
122,2011-01-21,GUATEMALA,R,KSAT,MGGT,69,1,1.0,0.014492753623188406,62.0,89.85507246376811
123,2011-01-26,GUATEMALA,R,KDAL,MGGT,22,1,0.0,0.0,11.0,50.0
124,2011-01-26,GUATEMALA,R,KIAH,MGGT,41,1,0.0,0.0,9.0,21.951219512195124
125,2011-01-26,GUATEMALA,R,KMIA,MGGT,47,1,0.0,0.0,35.0,74.46808510638297
126,2011-01-27,GUATEMALA,R,KAEX,MGGT,131,1,0.0,0.0,52.0,39.69465648854962
127,2011-01-27,GUATEMALA,R,KIWA,MGGT,78,1,0.0,0.0,34.0,43.58974358974359
128,2011-01-28,GUATEMALA,R,KHRL,MGGT,13,1,1.0,0.07692307692307693,13.0,100.0
129,2011-01-28,GUATEMALA,R,KSAT,MGGT,62,1,2.0,0.03225806451612903,54.0,87.09677419354838
130,2011-01-31,GUATEMALA,R,KMIA,MGGT,45,1,0.0,0.0,27.0,60.0
131,2011-02-01,GUATEMALA,R,KIWA,MGGT,94,1,4.0,0.0425531914893617,66.0,70.2127659574468
132,2011-02-02,GUATEMALA,R,KCSG,MGGT,57,1,0.0,0.0,11.0,19.298245614035086
133,2011-02-02,GUATEMALA,R,KIAH,MGGT,27,1,0.0,0.0,7.0,25.925925925925924
134,2011-02-02,GUATEMALA,R,KMIA,MGGT,17,1,0.0,0.0,7.0,41.17647058823529
135,2011-02-03,GUATEMALA,R,KAEX,MGGT,107,1,0.0,0.0,63.0,58.87850467289719
136,2011-02-04,GUATEMALA,R,KIWA,MGGT,90,1,1.0,0.011111111111111112,54.0,60.0
137,2011-02-08,GUATEMALA,R,KIWA,MGGT,122,1,1.0,0.00819672131147541,50.0,40.98360655737705
138,2011-02-09,GUATEMALA,R,KHRL,MGGT,36,1,0.0,0.0,32.0,88.88888888888889
139,2011-02-09,GUATEMALA,R,KIAH,MGGT,42,1,2.0,0.047619047619047616,15.0,35.714285714285715
140,2011-02-09,GUATEMALA,R,KMIA,MGGT,45,1,0.0,0.0,31.0,68.88888888888889
141,2011-02-09,GUATEMALA,R,KSAT,MGGT,51,1,1.0,0.0196078431372549,42.0,82.35294117647058
142,2011-02-09,GUATEMALA,R,KDFW,MGGT,18,1,0.0,0.0,8.0,44.44444444444444
143,2011-02-10,GUATEMALA,R,KAEX,MGGT,126,1,0.0,0.0,49.0,38.88888888888889
144,2011-02-11,GUATEMALA,R,KIWA,MGGT,134,1,0.0,0.0,114.0,85.07462686567165
145,2011-02-14,GUATEMALA,R,KMIA,MGGT,57,1,0.0,0.0,42.0,73.68421052631578
146,2011-02-15,GUATEMALA,R,KIWA,MGGT,85,1,2.0,0.023529411764705882,41.0,48.23529411764706
147,2011-02-16,GUATEMALA,R,KAEX,MGGT,23,1,0.0,0.0,5.0,21.73913043478261
148,2011-02-16,GUATEMALA,R,KCSG,MGGT,101,1,0.0,0.0,16.0,15.841584158415841
149,2011-02-17,GUATEMALA,R,KAEX,MGGT,124,1,0.0,0.0,56.0,45.16129032258064
150,2011-02-18,GUATEMALA,R,KHRL,MGGT,57,1,4.0,0.07017543859649122,56.0,98.24561403508771
151,2011-02-18,GUATEMALA,R,KIWA,MGGT,137,1,4.0,0.029197080291970802,118.0,86.13138686131386
152,2011-02-18,GUATEMALA,R,KSAT,MGGT,76,1,1.0,0.013157894736842105,62.0,81.57894736842105
153,2011-02-21,GUATEMALA,R,KMIA,MGGT,29,1,0.0,0.0,10.0,34.48275862068966
154,2011-02-22,GUATEMALA,R,KIWA,MGGT,61,1,0.0,0.0,50.0,81.9672131147541
155,2011-02-23,GUATEMALA,R,KELP,MGGT,19,1,0.0,0.0,4.0,21.052631578947366
156,2011-02-23,GUATEMALA,R,KIAH,MGGT,43,1,0.0,0.0,2.0,4.651162790697675
157,2011-02-23,GUATEMALA,R,KIWA,MGGT,76,1,0.0,0.0,23.0,30.263157894736842
